omg,produktnamn,correctRow,utd13,utd12,utd11,utd10
200250,Stryktipset,X1XX1X1121212,951511,14151,916,201
200250,Europatipset,21211X1XX1111,14529,382,36,12
200249,Stryktipset,11221XX1X1211,504616,4562,330,79
200249,Europatipset,X11X11XX21X21,716486,32222,2211,503
200248,Stryktipset,11111X1221212,14352,305,26,0
200248,Europatipset,X1X21222XXX22,707872,9482,607,127
200247,Stryktipset,111X111211212,102957,2196,179,46
200247,Europatipset,111X1X1111X21,18953,466,46,15
200246,Stryktipset,X11X121121XX1,56248,830,64,19
200246,Europatipset,212111111XX12,5677,85,0,0
200245,Stryktipset,2111X11XX1X11,38885,970,88,27
200245,Europatipset,11X2211X2X21X,136323,2585,170,44
200244,Stryktipset,X112121112X11,16751,452,48,17
200244,Europatipset,21222X12X2XX2,187224,2548,181,44
200243,Stryktipset,212X1X212X111,362596,10377,757,176
200243,Europatipset,X121X112X21X1,302106,1500,120,34
200242,Stryktipset,2X121X2X121X1,1396084,18505,1624,409
200242,Europatipset,12111X11X1112,2303,79,0,0
200241,Stryktipset,XX12212112X22,12400,312,31,11
200241,Europatipset,XX22111X21112,219951,2588,205,54
200240,Stryktipset,1211X2222X2X2,40607,1189,120,39
200240,Europatipset,212XX1112X212,122452,805,64,19
200239,Stryktipset,222211X212122,282530,6812,443,100
200239,Europatipset,121211X11X211,10000000,2551,154,39
200238,Stryktipset,111XX11X2XX2X,17154,495,52,18
200238,Europatipset,22212X1111XX2,10000000,81426,2873,415
200237,Stryktipset,2212111112221,29131,649,65,20
200237,Europatipset,21X12X21112XX,354922,13145,670,147
200236,Stryktipset,XX2221121222X,124891,2258,174,44
200235,Stryktipset,XX2111111X111,164267,3100,233,64
200234,Stryktipset,X1212X2221X2X,141302,3539,263,68
200233,Stryktipset,2X211XX2111X1,40898,871,74,22
200232,Stryktipset,222111X11X11X,139775,4302,352,87
200231,Stryktipset,112XX1X12221X,783522,12508,843,206
200230,Stryktipset,121211211211X,13677,214,22,0
200229,Stryktipset,XX2X11X2X11X2,511429,7003,644,168
200228,Stryktipset,X2X21XX211111,1248353,6040,378,80
200227,Stryktipset,2121221222122,136686,2148,214,66
200226,Stryktipset,11X12X21X1221,20257,720,61,19
200225,Stryktipset,221X12X1112X2,169563,3128,208,50
200224,Stryktipset,2X11XX1XX1112,294567,6530,523,127
200223,Stryktipset,1X11XX11112XX,353465,3575,257,66
200223,Europatipset,1111X2XX22X11,76250,814,77,20
200222,Stryktipset,X11XX2221X121,125443,2745,214,60
200222,Europatipset,21XX21XXXX112,201288,2840,233,50
200221,Stryktipset,111X11112222X,188880,2839,196,48
200221,Europatipset,1111122X11111,26865,304,31,11
200220,Stryktipset,1X1X112X2112X,224942,4408,355,92
200220,Europatipset,X111X1112X12X,10545,217,23,0
200219,Stryktipset,1X1112111X111,42087,1270,128,35
200219,Europatipset,1X2XX211X2211,464693,2053,163,45
200218,Stryktipset,1211X1211X1X2,49546,970,77,23
200218,Europatipset,122111111XXXX,8863,119,16,0
200217,Stryktipset,2122X12XXXX22,1284383,9086,495,104
200217,Europatipset,1111212X2121X,20190,255,25,0
200216,Stryktipset,1121X2X2XX211,308139,3504,234,58
200216,Europatipset,XX211XXXX22X2,10000000,31275,992,192
200215,Stryktipset,22XXX21X2122X,10000000,27772,1610,328
200215,Europatipset,111222X11XX12,39663,514,41,13
200214,Stryktipset,11111111X2212,121332,696,74,20
200214,Europatipset,12X2XX11X111X,234598,2532,127,29
200213,Stryktipset,211111X1111XX,4256,121,14,0
200213,Europatipset,X1212XX112X21,1013875,4338,259,63
200212,Stryktipset,22X2X2XX111X1,1555926,81638,3671,690
200212,Europatipset,111211122112X,811,32,0,0
200211,Stryktipset,12X1X12211XX1,86007,1843,154,42
200211,Europatipset,121XXX1XX1221,70871,971,69,20
200210,Stryktipset,2X22X121XXXXX,282040,4480,340,90
200210,Europatipset,21X11X12211XX,29590,785,77,26
200209,Stryktipset,121112X12X1X1,56469,1065,97,28
200209,Europatipset,21X22112X1211,212087,4273,299,70
200208,Stryktipset,2X11X2X221212,3711668,10826,592,125
200208,Europatipset,X1X12222XXX1X,222602,2099,160,44
200207,Stryktipset,1111XX11X111X,22215,244,25,0
200207,Europatipset,XX22211212XXX,10000000,39184,1950,340
200206,Stryktipset,11X2X1121X2X1,3833,114,14,0
200206,Europatipset,X1X1XXX11112X,712842,7874,602,154
200205,Stryktipset,1X12X1222X2X2,133795,2925,231,58
200205,Europatipset,XX1XX1X211XXX,154260,4496,371,102
200204,Stryktipset,X122112121121,121150,1467,98,26
200204,Europatipset,21X21112X1X22,708162,9722,980,239
200203,Stryktipset,X1XXXXX22X2X1,1740067,42138,2476,506
200203,Europatipset,XX11111X12XX1,4962,107,14,0
200202,Stryktipset,X1X111111X2X2,138711,1040,90,26
200202,Europatipset,212XX1X1XX111,10000000,4444,257,63
200201,Stryktipset,2112X1XXX2211,5628,134,15,0
200201,Europatipset,X11211222XXX2,32035,828,68,20
200152,Stryktipset,X12X22X212111,2871098,11662,741,162
200151,Stryktipset,X22121XX2X1X1,1198411,7517,462,104
200151,Europatipset,2121212111X12,81278,2011,165,46
200150,Stryktipset,1X1211X1X1111,2325,86,11,0
200150,Europatipset,1111111XX1221,29727,909,75,22
200149,Stryktipset,211112211X221,586736,10929,769,178
200149,Europatipset,X221112122112,25626,281,30,11
200148,Stryktipset,X222X2121222X,1887310,11586,625,120
200148,Europatipset,112121122XX11,7986,243,23,0
200147,Stryktipset,11X2XX1211221,6198,185,23,0
200147,Europatipset,122111X2XX11X,10982,404,50,18
200146,Stryktipset,2X1X111XX111X,265432,3590,275,67
200146,Europatipset,11X12XX11X11X,129041,3124,240,63
200145,Stryktipset,XXX211XX2XXX1,698718,42920,3351,747
200145,Europatipset,21121111X1112,43271,697,51,15
200144,Stryktipset,11X221X112111,90221,828,75,23
200144,Europatipset,11X1X1121221X,7307,235,27,10
200143,Stryktipset,1X21211212111,10241,244,24,0
200143,Europatipset,X1X121221X111,224356,5168,374,85
200142,Stryktipset,12X21X1211X21,151449,2121,135,33
200142,Europatipset,211X222111112,128290,1276,115,33
200141,Stryktipset,X2221XX212112,21059,414,40,14
200141,Europatipset,XXXXX211X2211,10000000,0,10147,1626
200140,Stryktipset,XX12X2211X1XX,257966,7165,487,112
200140,Europatipset,XXX1222X111X1,10000000,5341,380,87
200139,Stryktipset,221122111221X,21042,673,72,24
200139,Europatipset,X11X211X12221,45824,1006,76,0
200138,Stryktipset,X11XX1X1X1221,132898,3384,249,64
