omg,produktnamn,correctRow,utd13,utd12,utd11,utd10
201242,Europatipset,221XX2X2X1122,1526765,13301,539,141
201241,Europatipset,2221X22X12X1X,174613,3507,135,36
201241,Europatipset,22222111X2221,475429,2862,103,33
201240,Europatipset,111X22XX1X21X,102215,1384,63,20
201240,Europatipset,2X11X121X2X2X,460795,4256,136,35
201239,Europatipset,X2122X1XX2122,500082,11059,456,116
201239,Europatipset,X211211221X21,21443,453,18,0
201238,Europatipset,X1121X2121X21,32612,356,18,0
201238,Europatipset,X11X12X1XX1X1,258219,2550,102,30
201237,Europatipset,12X1X211121X1,986,35,0,0
201237,Europatipset,211221X1X2X21,1097,35,0,0
201236,Europatipset,12X121X22X211,4639,143,0,0
201236,Europatipset,11211XX1X1111,472982,2599,97,26
201235,Europatipset,1112X11221212,3443301,7508,223,50
201235,Europatipset,2X222211112X2,347573,3028,107,29
201234,Europatipset,X11111111X11X,11583,204,0,0
201234,Europatipset,X1X2211X222X1,10000000,29303,787,162
201233,Europatipset,221X22211XX11,327439,22150,1984,593
201233,Europatipset,1221XXX122111,13272,310,15,0
201232,Europatipset,XX2122222211X,10000000,23025,652,137
201232,Europatipset,21X1211X12212,726676,2884,109,29
201231,Europatipset,1X1XXXX221X1X,10000000,38723,1510,383
201231,Europatipset,2XX111212X222,681465,11847,489,130
201230,Europatipset,12122X2XXX121,19784,237,0,0
201230,Europatipset,11111122112X1,587793,2366,70,17
201229,Europatipset,1X1X2X21211XX,10000000,293944,3566,526
201229,Europatipset,2XXX12121XXX1,617152,9899,333,84
201228,Europatipset,1X11111122111,7064,78,0,0
201228,Europatipset,12122121X1212,205565,1737,61,18
201227,Europatipset,X21112XX21211,23256,534,25,0
201227,Europatipset,XX112X1222X11,10000000,34024,835,169
201226,Europatipset,11XX11111X1X1,269111,3115,126,35
201225,Europatipset,11X11X11X1X22,1024865,7077,253,56
201224,Europatipset,2112111112121,11518,278,16,0
201222,Europatipset,111121121X221,3248,92,0,0
201222,Europatipset,21X212X22XX11,570144,2758,95,26
201221,Europatipset,X2X212X212X21,276072,4460,231,69
201221,Europatipset,X1X11X1X11XX1,37769,921,46,16
201221,Europatipset,11121XX2XXX12,800949,8079,266,61
201220,Europatipset,1X1X12XXX1XX2,645976,7172,316,83
201220,Europatipset,2122221122212,8645,293,18,0
201219,Europatipset,221X2X11122X1,85525,753,43,16
201219,Europatipset,111X211121111,1003,43,0,0
201218,Europatipset,2211211X12211,8277,124,0,0
201218,Europatipset,121211XX2X1X1,10000000,14855,410,92
201217,Europatipset,1221X12111X11,26317,618,29,0
201216,Europatipset,11XX121XXX211,1973865,10656,300,63
201216,Europatipset,2221X121XXXX1,224468,4705,246,69
201215,Europatipset,111212X11XXXX,1158595,25622,888,172
201215,Europatipset,212211X121X12,57529,1071,45,0
201214,Europatipset,111121222X2X1,6374,97,0,0
201214,Europatipset,11XX111122X1X,2812448,17337,603,143
201213,Europatipset,2221XXX21222X,548344,9008,328,85
201213,Europatipset,11XX21111X1X1,10000000,10196,318,68
201212,Europatipset,121X1222XXX1X,10000000,228280,7940,1069
201212,Europatipset,2X222X11XX21X,776118,9245,405,104
201211,Europatipset,11121X1X11X11,9926,253,0,0
201211,Europatipset,11121XXXX1212,267521,4661,162,40
201210,Europatipset,1121X1X2111XX,39339,1215,63,21
201210,Europatipset,1X112XXX12211,278215,5516,189,45
201209,Europatipset,222X22X22X221,3007738,62516,3752,1020
201209,Europatipset,21121X2XX2212,335651,7975,320,79
201208,Europatipset,1222X1211112X,472923,9888,329,74
201208,Europatipset,X121112112111,2584,77,0,0
201207,Europatipset,21XXX12X12121,243303,2188,86,25
201207,Europatipset,X121X11X1211X,70518,1304,53,16
201206,Europatipset,22121X2112XX2,215835,1576,70,21
201206,Europatipset,2X21111112221,15032,311,15,0
201205,Europatipset,XX2X11X11X11X,10000000,21843,751,183
201205,Europatipset,XX2221X1XXX2X,10000000,161006,3521,670
201204,Europatipset,1111X21112XX2,239947,1910,81,24
201204,Europatipset,1211X21121X22,440155,7443,312,78
201203,Europatipset,1111XX11122X2,37976,616,25,0
201203,Europatipset,2112XX221X112,4262,108,0,0
201202,Europatipset,11211111121XX,5942,85,0,0
201202,Europatipset,11121121112X1,880286,8472,347,93
201201,Europatipset,22212111121X1,737938,19735,827,183
201201,Europatipset,1121X11112111,76766,1466,60,17
201201,Europatipset,212122XXX1112,103006,1229,47,0
201151,Europatipset,2212221XXX1X2,128717,1114,49,15
201150,Europatipset,11112211X11XX,13017,156,0,0
201150,Europatipset,121111X2121X1,13034,179,0,0
201149,Europatipset,1X212X1X122X1,976775,7545,275,71
201149,Europatipset,1X1X2XXX1X222,1503845,43235,1253,272
201148,Europatipset,212122XX1XX11,1281906,6346,258,63
201148,Europatipset,211X11X11X111,120797,1938,86,25
201147,Europatipset,X211XX1X112X2,346698,4013,151,41
201147,Europatipset,XX11221211211,36359,553,24,0
201146,Europatipset,1XX212111X211,55423,674,31,0
201146,Europatipset,21112X211XX11,250670,2696,100,28
201145,Europatipset,1X21211X21X2X,87497,2069,80,22
201145,Europatipset,2111X2X1222X2,10000000,41263,1209,307
201144,Europatipset,121XX22212X11,89841,1236,61,19
201144,Europatipset,21XX11121X1XX,725094,11744,356,83
201143,Europatipset,1X111222XX211,49681,889,41,0
201143,Europatipset,111112111XXX1,17005,294,17,0
201142,Europatipset,111121XX1X212,17359,388,19,0
201142,Europatipset,221X12X121X11,10000000,46397,1113,191
201141,Europatipset,1X111X112X121,29499,481,22,0
201141,Europatipset,X111X111XX211,245510,3446,132,36
201140,Europatipset,222X11222X1X1,25133,511,25,0
201140,Europatipset,1X21111212X11,48297,531,24,0
201139,Europatipset,X111X211X1221,16104,362,17,0
201139,Europatipset,111X221212111,98525,2238,99,29
201138,Europatipset,X111X112X12XX,471862,7536,213,50
201138,Europatipset,X1XXX2XXXXX1X,630022,11877,646,208
201137,Europatipset,2X2X1XX2X21XX,10000000,13491,308,64
201137,Europatipset,1X11211X21211,2542133,15628,427,88
201136,Europatipset,22X1X11111211,458,0,0,0
201136,Europatipset,X1X11XX112221,3547967,23432,707,143
201135,Europatipset,11X2221122222,104212,1129,43,0
201135,Europatipset,1XX212X1X2122,10000000,101255,1914,377
201134,Europatipset,21211212X2112,349491,2675,114,32
201134,Europatipset,2121111X2X112,63217,866,32,0
201133,Europatipset,1111112X211X2,142019,2346,96,27
201133,Europatipset,211112X1X2X12,24656,636,31,0
201132,Europatipset,21XX1111X1122,1749656,5684,192,49
201132,Europatipset,X211212X1212X,114374,2596,101,26
201131,Europatipset,X1X2XX11X1111,142785,1579,69,20
201131,Europatipset,2XX1212111122,10000000,17428,377,70
201130,Europatipset,111X2X1211111,2867,54,0,0
201130,Europatipset,2211211X11211,91354,995,44,0
201129,Europatipset,21X1212X11111,27025,236,0,0
201129,Europatipset,1211X11111XX2,68224,727,31,0
201128,Europatipset,1X2X112112XXX,7835,119,0,0
201128,Europatipset,X121111121X2X,70701,1001,46,15
201127,Europatipset,X12X11122X121,975710,4468,154,41
201127,Europatipset,11121X22X1X11,1650,63,0,0
201126,Europatipset,2121212121122,8375,299,20,0
201126,Europatipset,11X2112211XX2,157927,1940,81,23
201126,Europatipset,21121X1X111XX,57332,926,38,0
201125,Europatipset,X1X122XX11X12,529968,4851,180,46
201124,Europatipset,X22X112X11211,69432,706,37,0
201124,Europatipset,1X1X212112211,14200,246,0,0
201123,Europatipset,1211111X1XX21,8256,189,0,0
201123,Europatipset,11XX1211111X1,7326,131,0,0
201122,Europatipset,22X2211X112X1,6007,118,0,0
201122,Europatipset,11XX1X12121X2,663026,5929,282,70
201121,Europatipset,1211X11121X22,5877,147,0,0
201121,Europatipset,122X2X1111X22,128165,2353,103,30
201120,Europatipset,11111XXX112X1,44003,832,40,0
201120,Europatipset,11X2122X11212,370112,4863,229,69
201119,Europatipset,XXX11X2XX21X1,615464,7222,218,54
201119,Europatipset,22212XX11X12X,281191,6929,312,80
201118,Europatipset,1111112X2X211,833423,8916,368,97
201117,Europatipset,1111111X1X21X,4338,160,0,0
